sfo-load-dw-03.unix.newokl.com,10.110.11.3
sfo-load-dw-03-con.newokl.com,10.110.2.233
sfo-ops-debian-06.unix.newokl.com,10.110.2.64
sfo-ops-debian-06-con.newokl.com,10.110.3.166
sac-prod-web-16.unix.newokl.com,10.120.3.26
sac-prod-web-16-con.newokl.com,10.120.2.126
sac-prod-web-17.unix.newokl.com,10.120.3.27
sac-prod-web-17-con.newokl.com,10.120.2.127
sac-prod-web-18.unix.newokl.com,10.120.3.28
sac-prod-web-18-con.newokl.com,10.120.2.128
sfo-load-drv-01.unix.newokl.com,10.110.2.76
sfo-load-drv-01-con.newokl.com,10.110.3.176
sfo-perf-drv-01.unix.newokl.com,10.110.2.79
sfo-perf-drv-01-con.newokl.com,10.110.3.179
sfo-perf-web-01.unix.newokl.com,10.110.3.141
sfo-perf-web-01-con.newokl.com,10.110.3.220
sfo-perf-mq-01.unix.newokl.com,10.110.3.151
sfo-perf-mq-01-con.newokl.com,10.110.3.221
sfo-perf-db-01.unix.newokl.com,10.110.3.161
sfo-perf-db-01-con.newokl.com,10.110.3.222
sfo-int-pweb-01.unix.newokl.com,10.110.3.15
sfo-int-pweb-01-con.newokl.com,10.110.3.223
sfo-int-pweb-02.unix.newokl.com,10.110.3.16
sfo-int-pweb-02-con.newokl.com,10.110.3.224
ec2-ops-adm-01.unix.newokl.com,10.130.2.61
ec2-ops-adm-02.unix.newokl.com,10.130.2.62
ec2-prod-dbdr-01.unix.newokl.com,10.130.3.56
ec2-prod-hweb-01.unix.newokl.com,10.130.3.201
ec2-prod-hweb-02.unix.newokl.com,10.130.3.202
ec2-prod-hdb-01.unix.newokl.com,10.130.3.211
ec2-prod-hdb-02.unix.newokl.com,10.130.3.212
ec2-prod-dslb-01.unix.newokl.com,10.130.3.220
ec2-prod-dslb-02.unix.newokl.com,10.130.3.230
ec2-prod-dsweb-01.unix.newokl.com,10.130.3.221
ec2-prod-dsweb-02.unix.newokl.com,10.130.3.222
ec2-dev-dsr-01.unix.newokl.com,10.130.3.227
ec2-prod-dsredis-01.unix.newokl.com,10.130.3.225
ec2-prod-dsdb-01.unix.newokl.com,10.130.3.231
ec2-prod-dsdb-02.unix.newokl.com,10.130.3.232
ec2-prod-dsdb-03.unix.newokl.com,10.130.3.233
ec2-prod-dsdb-04.unix.newokl.com,10.130.3.234
ec2-prod-dsdb-05.unix.newokl.com,10.130.3.235
sac-prod-vrt-db-01.unix.newokl.com,10.120.3.141
sac-prod-vrt-db-01-con.newokl.com,10.120.2.91
sac-prod-vrt-db-02.unix.newokl.com,10.120.3.142
sac-prod-vrt-db-02-con.newokl.com,10.120.2.92
sac-prod-vrt-db-03.unix.newokl.com,10.120.3.143
sac-prod-vrt-db-03-con.newokl.com,10.120.2.93
sac-prod-vrt-db-04.unix.newokl.com,10.120.3.144
sac-prod-vrt-db-04-con.newokl.com,10.120.2.94
sac-stg-vrt-db-01.unix.newokl.com,10.120.3.151
sac-stg-vrt-db-01-con.newokl.com,10.120.2.95
sac-stg-vrt-db-02.unix.newokl.com,10.120.3.152
sac-stg-vrt-db-02-con.newokl.com,10.120.2.96
sac-stg-vrt-db-03.unix.newokl.com,10.120.3.153
sac-stg-vrt-db-03-con.newokl.com,10.120.2.97
sac-stg-vrt-db-04.unix.newokl.com,10.120.3.154
sac-stg-vrt-db-04-con.newokl.com,10.120.2.98
ec2-ops-centos-06.unix.newokl.com,10.130.2.63
sfo-int-pim-app-01.unix.newokl.com,10.110.11.120
sfo-load01-srch-data-01.unix.newokl.com,10.110.11.29
sfo-load01-srch-data-01-con.newokl.com,10.110.2.29
sfo-load01-srch-data-02.unix.newokl.com,10.110.11.30
sfo-load01-srch-data-02-con.newokl.com,10.110.2.30
sfo-load01-srch-data-03.unix.newokl.com,10.110.11.31
sfo-load01-srch-data-03-con.newokl.com,10.110.2.31
ec2-prod-stor-fmq-01.unix.newokl.com,10.130.3.43
ec2-dev-ds-mq-01.unix.newokl.com,10.130.3.44
ec2-dev-ds-mq-02.unix.newokl.com,10.130.3.45
sfo-load01-srch-web-02.unix.newokl.com,10.110.11.28
sfo-load01-srch-web-02-con.newokl.com,10.110.2.28
sfo-test-ops-hbase-02.unix.newokl.com,10.110.11.22
sfo-test-ops-hbase-02-con.newokl.com,10.110.2.40
sfo-test-ops-hbase-03.unix.newokl.com,10.110.11.23
sfo-test-ops-hbase-03-con.newokl.com,10.110.2.23
sfo-test-ops-hbase-04.unix.newokl.com,10.110.11.24
sfo-test-ops-hbase-04-con.newokl.com,10.110.2.24
sfo-load01-srch-web-01.unix.newokl.com,10.110.11.32
sfo-load01-srch-web-01-con.newokl.com,10.110.2.32
sfo-test-ops-hbase-05.unix.newokl.com,10.110.11.25
sfo-test-ops-hbase-05-con.newokl.com,10.110.2.25
sfo-test-ops-hbase-06.unix.newokl.com,10.110.11.26
sfo-test-ops-hbase-06-con.newokl.com,10.110.2.26
sfo-cloud-ops-esx-01.unix.newokl.com,10.110.11.27
sfo-int-srch-web-01.unix.newokl.com,10.110.11.33
sfo-int-srch-web-01-con.newokl.com,10.110.2.33
sfo-int-srch-web-02.unix.newokl.com,10.110.11.34
sfo-int-srch-web-02-con.newokl.com,10.110.2.34
sfo-int-srch-data-01.unix.newokl.com,10.110.11.35
sfo-int-srch-data-01-con.newokl.com,10.110.2.35
sfo-int-srch-data-02.unix.newokl.com,10.110.11.36
sfo-int-srch-data-02-con.newokl.com,10.110.2.36
